"Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"Mental health-related presentations","Australia","Per cent","2","2015",25,2015.25,"Q2 2015"
"Mental health-related presentations","Australia","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","Australia","Per cent","2","2017",25,2017.25,"Q2 2017"
"Mental health-related presentations","Australia","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","Australia","Per cent","2","2019",23,2019.25,"Q2 2019"
"Mental health-related presentations","Australia","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","Australia","Per cent","2","2021",24,2021.25,"Q2 2021"
"Mental health-related presentations","New South Wales","Number","3","2014",20093,2014.5,"Q3 2014"
"Mental health-related presentations","New South Wales","Number","3","2015",22367,2015.5,"Q3 2015"
"Mental health-related presentations","New South Wales","Number","3","2016",23077,2016.5,"Q3 2016"
"Mental health-related presentations","New South Wales","Number","3","2017",22263,2017.5,"Q3 2017"
"Mental health-related presentations","New South Wales","Number","3","2018",24541,2018.5,"Q3 2018"
"Mental health-related presentations","New South Wales","Number","3","2019",25166,2019.5,"Q3 2019"
"Mental health-related presentations","New South Wales","Number","3","2020",23031,2020.5,"Q3 2020"
"Mental health-related presentations","New South Wales","Number","3","2021",20491,2021.5,"Q3 2021"
"Mental health-related presentations","New South Wales","Number","4","2014",23356,2014.75,"Q4 2014"
"Mental health-related presentations","New South Wales","Number","4","2015",25842,2015.75,"Q4 2015"
"Mental health-related presentations","New South Wales","Number","4","2016",24371,2016.75,"Q4 2016"
"Mental health-related presentations","New South Wales","Number","4","2017",24645,2017.75,"Q4 2017"
"Mental health-related presentations","New South Wales","Number","4","2018",26770,2018.75,"Q4 2018"
"Mental health-related presentations","New South Wales","Number","4","2019",26017,2019.75,"Q4 2019"
"Mental health-related presentations","New South Wales","Number","4","2020",23817,2020.75,"Q4 2020"
"Mental health-related presentations","New South Wales","Number","4","2021",23264,2021.75,"Q4 2021"
"Mental health-related presentations","New South Wales","Number","1","2014",23454,2014,"Q1 2014"
"Mental health-related presentations","New South Wales","Number","1","2015",25744,2015,"Q1 2015"
"Mental health-related presentations","New South Wales","Number","1","2016",24219,2016,"Q1 2016"
"Mental health-related presentations","New South Wales","Number","1","2017",24871,2017,"Q1 2017"
"Mental health-related presentations","New South Wales","Number","1","2018",26760,2018,"Q1 2018"
"Mental health-related presentations","New South Wales","Number","1","2019",24582,2019,"Q1 2019"
"Mental health-related presentations","New South Wales","Number","1","2020",23621,2020,"Q1 2020"
"Mental health-related presentations","New South Wales","Number","1","2021",21081,2021,"Q1 2021"
"Mental health-related presentations","New South Wales","Number","2","2014",21566,2014.25,"Q2 2014"
"Mental health-related presentations","New South Wales","Number","2","2015",24071,2015.25,"Q2 2015"
"Mental health-related presentations","New South Wales","Number","2","2016",22592,2016.25,"Q2 2016"
"Mental health-related presentations","New South Wales","Number","2","2017",23311,2017.25,"Q2 2017"
"Mental health-related presentations","New South Wales","Number","2","2018",24698,2018.25,"Q2 2018"
"Mental health-related presentations","New South Wales","Number","2","2019",20916,2019.25,"Q2 2019"
"Mental health-related presentations","New South Wales","Number","2","2020",22610,2020.25,"Q2 2020"
"Mental health-related presentations","New South Wales","Number","2","2021",20445,2021.25,"Q2 2021"
"Mental health-related presentations","New South Wales","Per cent","3","2014",23,2014.5,"Q3 2014"
"Mental health-related presentations","New South Wales","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","New South Wales","Per cent","3","2016",24,2016.5,"Q3 2016"
"Mental health-related presentations","New South Wales","Per cent","3","2017",23,2017.5,"Q3 2017"
"Mental health-related presentations","New South Wales","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","New South Wales","Per cent","3","2019",26,2019.5,"Q3 2019"
"Mental health-related presentations","New South Wales","Per cent","3","2020",25,2020.5,"Q3 2020"
"Mental health-related presentations","New South Wales","Per cent","3","2021",24,2021.5,"Q3 2021"
"Mental health-related presentations","New South Wales","Per cent","4","2014",26,2014.75,"Q4 2014"
"Mental health-related presentations","New South Wales","Per cent","4","2015",26,2015.75,"Q4 2015"
"Mental health-related presentations","New South Wales","Per cent","4","2016",26,2016.75,"Q4 2016"
"Mental health-related presentations","New South Wales","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","New South Wales","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","New South Wales","Per cent","4","2019",27,2019.75,"Q4 2019"
"Mental health-related presentations","New South Wales","Per cent","4","2020",26,2020.75,"Q4 2020"
"Mental health-related presentations","New South Wales","Per cent","4","2021",27,2021.75,"Q4 2021"
"Mental health-related presentations","New South Wales","Per cent","1","2014",27,2014,"Q1 2014"
"Mental health-related presentations","New South Wales","Per cent","1","2015",26,2015,"Q1 2015"
"Mental health-related presentations","New South Wales","Per cent","1","2016",26,2016,"Q1 2016"
"Mental health-related presentations","New South Wales","Per cent","1","2017",26,2017,"Q1 2017"
"Mental health-related presentations","New South Wales","Per cent","1","2018",26,2018,"Q1 2018"
"Mental health-related presentations","New South Wales","Per cent","1","2019",25,2019,"Q1 2019"
"Mental health-related presentations","New South Wales","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","New South Wales","Per cent","1","2021",25,2021,"Q1 2021"
"Mental health-related presentations","New South Wales","Per cent","2","2014",24,2014.25,"Q2 2014"
"Mental health-related presentations","New South Wales","Per cent","2","2015",25,2015.25,"Q2 2015"
"Mental health-related presentations","New South Wales","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","New South Wales","Per cent","2","2017",25,2017.25,"Q2 2017"
"Mental health-related presentations","New South Wales","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","New South Wales","Per cent","2","2019",22,2019.25,"Q2 2019"
"Mental health-related presentations","New South Wales","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","New South Wales","Per cent","2","2021",24,2021.25,"Q2 2021"
"Mental health-related presentations","Victoria","Number","3","2014",11155,2014.5,"Q3 2014"
"Mental health-related presentations","Victoria","Number","3","2015",12797,2015.5,"Q3 2015"
"Mental health-related presentations","Victoria","Number","3","2016",12721,2016.5,"Q3 2016"
"Mental health-related presentations","Victoria","Number","3","2017",13709,2017.5,"Q3 2017"
"Mental health-related presentations","Victoria","Number","3","2018",15162,2018.5,"Q3 2018"
"Mental health-related presentations","Victoria","Number","3","2019",15914,2019.5,"Q3 2019"
"Mental health-related presentations","Victoria","Number","3","2020",16342,2020.5,"Q3 2020"
"Mental health-related presentations","Victoria","Number","3","2021",15066,2021.5,"Q3 2021"
"Mental health-related presentations","Victoria","Number","4","2014",12403,2014.75,"Q4 2014"
"Mental health-related presentations","Victoria","Number","4","2015",13767,2015.75,"Q4 2015"
"Mental health-related presentations","Victoria","Number","4","2016",13726,2016.75,"Q4 2016"
"Mental health-related presentations","Victoria","Number","4","2017",15041,2017.75,"Q4 2017"
"Mental health-related presentations","Victoria","Number","4","2018",16115,2018.75,"Q4 2018"
"Mental health-related presentations","Victoria","Number","4","2019",17060,2019.75,"Q4 2019"
"Mental health-related presentations","Victoria","Number","4","2020",17639,2020.75,"Q4 2020"
"Mental health-related presentations","Victoria","Number","4","2021",15052,2021.75,"Q4 2021"
"Mental health-related presentations","Victoria","Number","1","2014",12849,2014,"Q1 2014"
"Mental health-related presentations","Victoria","Number","1","2015",13635,2015,"Q1 2015"
"Mental health-related presentations","Victoria","Number","1","2016",14329,2016,"Q1 2016"
"Mental health-related presentations","Victoria","Number","1","2017",14438,2017,"Q1 2017"
"Mental health-related presentations","Victoria","Number","1","2018",16345,2018,"Q1 2018"
"Mental health-related presentations","Victoria","Number","1","2019",16560,2019,"Q1 2019"
"Mental health-related presentations","Victoria","Number","1","2020",16425,2020,"Q1 2020"
"Mental health-related presentations","Victoria","Number","1","2021",14755,2021,"Q1 2021"
"Mental health-related presentations","Victoria","Number","2","2014",12330,2014.25,"Q2 2014"
"Mental health-related presentations","Victoria","Number","2","2015",13012,2015.25,"Q2 2015"
"Mental health-related presentations","Victoria","Number","2","2016",13338,2016.25,"Q2 2016"
"Mental health-related presentations","Victoria","Number","2","2017",14339,2017.25,"Q2 2017"
"Mental health-related presentations","Victoria","Number","2","2018",15450,2018.25,"Q2 2018"
"Mental health-related presentations","Victoria","Number","2","2019",15460,2019.25,"Q2 2019"
"Mental health-related presentations","Victoria","Number","2","2020",15759,2020.25,"Q2 2020"
"Mental health-related presentations","Victoria","Number","2","2021",13589,2021.25,"Q2 2021"
"Mental health-related presentations","Victoria","Per cent","3","2014",23,2014.5,"Q3 2014"
"Mental health-related presentations","Victoria","Per cent","3","2015",24,2015.5,"Q3 2015"
"Mental health-related presentations","Victoria","Per cent","3","2016",24,2016.5,"Q3 2016"
"Mental health-related presentations","Victoria","Per cent","3","2017",24,2017.5,"Q3 2017"
"Mental health-related presentations","Victoria","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","Victoria","Per cent","3","2019",24,2019.5,"Q3 2019"
"Mental health-related presentations","Victoria","Per cent","3","2020",25,2020.5,"Q3 2020"
"Mental health-related presentations","Victoria","Per cent","3","2021",26,2021.5,"Q3 2021"
"Mental health-related presentations","Victoria","Per cent","4","2014",25,2014.75,"Q4 2014"
"Mental health-related presentations","Victoria","Per cent","4","2015",26,2015.75,"Q4 2015"
"Mental health-related presentations","Victoria","Per cent","4","2016",25,2016.75,"Q4 2016"
"Mental health-related presentations","Victoria","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Victoria","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","Victoria","Per cent","4","2019",26,2019.75,"Q4 2019"
"Mental health-related presentations","Victoria","Per cent","4","2020",27,2020.75,"Q4 2020"
"Mental health-related presentations","Victoria","Per cent","4","2021",26,2021.75,"Q4 2021"
"Mental health-related presentations","Victoria","Per cent","1","2014",26,2014,"Q1 2014"
"Mental health-related presentations","Victoria","Per cent","1","2015",26,2015,"Q1 2015"
"Mental health-related presentations","Victoria","Per cent","1","2016",26,2016,"Q1 2016"
"Mental health-related presentations","Victoria","Per cent","1","2017",25,2017,"Q1 2017"
"Mental health-related presentations","Victoria","Per cent","1","2018",26,2018,"Q1 2018"
"Mental health-related presentations","Victoria","Per cent","1","2019",25,2019,"Q1 2019"
"Mental health-related presentations","Victoria","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","Victoria","Per cent","1","2021",25,2021,"Q1 2021"
"Mental health-related presentations","Victoria","Per cent","2","2014",25,2014.25,"Q2 2014"
"Mental health-related presentations","Victoria","Per cent","2","2015",24,2015.25,"Q2 2015"
"Mental health-related presentations","Victoria","Per cent","2","2016",25,2016.25,"Q2 2016"
"Mental health-related presentations","Victoria","Per cent","2","2017",25,2017.25,"Q2 2017"
"Mental health-related presentations","Victoria","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","Victoria","Per cent","2","2019",24,2019.25,"Q2 2019"
"Mental health-related presentations","Victoria","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","Victoria","Per cent","2","2021",23,2021.25,"Q2 2021"
"Mental health-related presentations","Queensland","Number","3","2014",12958,2014.5,"Q3 2014"
"Mental health-related presentations","Queensland","Number","3","2015",13245,2015.5,"Q3 2015"
"Mental health-related presentations","Queensland","Number","3","2016",13801,2016.5,"Q3 2016"
"Mental health-related presentations","Queensland","Number","3","2017",13647,2017.5,"Q3 2017"
"Mental health-related presentations","Queensland","Number","3","2018",14391,2018.5,"Q3 2018"
"Mental health-related presentations","Queensland","Number","3","2019",15343,2019.5,"Q3 2019"
"Mental health-related presentations","Queensland","Number","3","2020",16169,2020.5,"Q3 2020"
"Mental health-related presentations","Queensland","Number","3","2021",15458,2021.5,"Q3 2021"
"Mental health-related presentations","Queensland","Number","4","2014",14921,2014.75,"Q4 2014"
"Mental health-related presentations","Queensland","Number","4","2015",14991,2015.75,"Q4 2015"
"Mental health-related presentations","Queensland","Number","4","2016",14497,2016.75,"Q4 2016"
"Mental health-related presentations","Queensland","Number","4","2017",15051,2017.75,"Q4 2017"
"Mental health-related presentations","Queensland","Number","4","2018",15678,2018.75,"Q4 2018"
"Mental health-related presentations","Queensland","Number","4","2019",17409,2019.75,"Q4 2019"
"Mental health-related presentations","Queensland","Number","4","2020",16775,2020.75,"Q4 2020"
"Mental health-related presentations","Queensland","Number","4","2021",16396,2021.75,"Q4 2021"
"Mental health-related presentations","Queensland","Number","1","2014",13984,2014,"Q1 2014"
"Mental health-related presentations","Queensland","Number","1","2015",14569,2015,"Q1 2015"
"Mental health-related presentations","Queensland","Number","1","2016",14278,2016,"Q1 2016"
"Mental health-related presentations","Queensland","Number","1","2017",14451,2017,"Q1 2017"
"Mental health-related presentations","Queensland","Number","1","2018",15194,2018,"Q1 2018"
"Mental health-related presentations","Queensland","Number","1","2019",17301,2019,"Q1 2019"
"Mental health-related presentations","Queensland","Number","1","2020",16515,2020,"Q1 2020"
"Mental health-related presentations","Queensland","Number","1","2021",14847,2021,"Q1 2021"
"Mental health-related presentations","Queensland","Number","2","2014",13060,2014.25,"Q2 2014"
"Mental health-related presentations","Queensland","Number","2","2015",14160,2015.25,"Q2 2015"
"Mental health-related presentations","Queensland","Number","2","2016",13590,2016.25,"Q2 2016"
"Mental health-related presentations","Queensland","Number","2","2017",13873,2017.25,"Q2 2017"
"Mental health-related presentations","Queensland","Number","2","2018",14323,2018.25,"Q2 2018"
"Mental health-related presentations","Queensland","Number","2","2019",15749,2019.25,"Q2 2019"
"Mental health-related presentations","Queensland","Number","2","2020",15811,2020.25,"Q2 2020"
"Mental health-related presentations","Queensland","Number","2","2021",14847,2021.25,"Q2 2021"
"Mental health-related presentations","Queensland","Per cent","3","2014",24,2014.5,"Q3 2014"
"Mental health-related presentations","Queensland","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","Queensland","Per cent","3","2016",25,2016.5,"Q3 2016"
"Mental health-related presentations","Queensland","Per cent","3","2017",24,2017.5,"Q3 2017"
"Mental health-related presentations","Queensland","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","Queensland","Per cent","3","2019",23,2019.5,"Q3 2019"
"Mental health-related presentations","Queensland","Per cent","3","2020",25,2020.5,"Q3 2020"
"Mental health-related presentations","Queensland","Per cent","3","2021",25,2021.5,"Q3 2021"
"Mental health-related presentations","Queensland","Per cent","4","2014",27,2014.75,"Q4 2014"
"Mental health-related presentations","Queensland","Per cent","4","2015",26,2015.75,"Q4 2015"
"Mental health-related presentations","Queensland","Per cent","4","2016",26,2016.75,"Q4 2016"
"Mental health-related presentations","Queensland","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Queensland","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","Queensland","Per cent","4","2019",26,2019.75,"Q4 2019"
"Mental health-related presentations","Queensland","Per cent","4","2020",26,2020.75,"Q4 2020"
"Mental health-related presentations","Queensland","Per cent","4","2021",27,2021.75,"Q4 2021"
"Mental health-related presentations","Queensland","Per cent","1","2014",25,2014,"Q1 2014"
"Mental health-related presentations","Queensland","Per cent","1","2015",26,2015,"Q1 2015"
"Mental health-related presentations","Queensland","Per cent","1","2016",25,2016,"Q1 2016"
"Mental health-related presentations","Queensland","Per cent","1","2017",25,2017,"Q1 2017"
"Mental health-related presentations","Queensland","Per cent","1","2018",25,2018,"Q1 2018"
"Mental health-related presentations","Queensland","Per cent","1","2019",26,2019,"Q1 2019"
"Mental health-related presentations","Queensland","Per cent","1","2020",25,2020,"Q1 2020"
"Mental health-related presentations","Queensland","Per cent","1","2021",24,2021,"Q1 2021"
"Mental health-related presentations","Queensland","Per cent","2","2014",24,2014.25,"Q2 2014"
"Mental health-related presentations","Queensland","Per cent","2","2015",25,2015.25,"Q2 2015"
"Mental health-related presentations","Queensland","Per cent","2","2016",24,2016.25,"Q2 2016"
"Mental health-related presentations","Queensland","Per cent","2","2017",24,2017.25,"Q2 2017"
"Mental health-related presentations","Queensland","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","Queensland","Per cent","2","2019",24,2019.25,"Q2 2019"
"Mental health-related presentations","Queensland","Per cent","2","2020",24,2020.25,"Q2 2020"
"Mental health-related presentations","Queensland","Per cent","2","2021",24,2021.25,"Q2 2021"
"Mental health-related presentations","Western Australia","Number","3","2014",6212,2014.5,"Q3 2014"
"Mental health-related presentations","Western Australia","Number","3","2015",6810,2015.5,"Q3 2015"
"Mental health-related presentations","Western Australia","Number","3","2016",7085,2016.5,"Q3 2016"
"Mental health-related presentations","Western Australia","Number","3","2017",8435,2017.5,"Q3 2017"
"Mental health-related presentations","Western Australia","Number","3","2018",8781,2018.5,"Q3 2018"
"Mental health-related presentations","Western Australia","Number","3","2019",9119,2019.5,"Q3 2019"
"Mental health-related presentations","Western Australia","Number","3","2020",9956,2020.5,"Q3 2020"
"Mental health-related presentations","Western Australia","Number","3","2021",8976,2021.5,"Q3 2021"
"Mental health-related presentations","Western Australia","Number","4","2014",6616,2014.75,"Q4 2014"
"Mental health-related presentations","Western Australia","Number","4","2015",7742,2015.75,"Q4 2015"
"Mental health-related presentations","Western Australia","Number","4","2016",7954,2016.75,"Q4 2016"
"Mental health-related presentations","Western Australia","Number","4","2017",9144,2017.75,"Q4 2017"
"Mental health-related presentations","Western Australia","Number","4","2018",9420,2018.75,"Q4 2018"
"Mental health-related presentations","Western Australia","Number","4","2019",10096,2019.75,"Q4 2019"
"Mental health-related presentations","Western Australia","Number","4","2020",9744,2020.75,"Q4 2020"
"Mental health-related presentations","Western Australia","Number","4","2021",9416,2021.75,"Q4 2021"
"Mental health-related presentations","Western Australia","Number","1","2014",6731,2014,"Q1 2014"
"Mental health-related presentations","Western Australia","Number","1","2015",7989,2015,"Q1 2015"
"Mental health-related presentations","Western Australia","Number","1","2016",8374,2016,"Q1 2016"
"Mental health-related presentations","Western Australia","Number","1","2017",9328,2017,"Q1 2017"
"Mental health-related presentations","Western Australia","Number","1","2018",9777,2018,"Q1 2018"
"Mental health-related presentations","Western Australia","Number","1","2019",10035,2019,"Q1 2019"
"Mental health-related presentations","Western Australia","Number","1","2020",9864,2020,"Q1 2020"
"Mental health-related presentations","Western Australia","Number","1","2021",8629,2021,"Q1 2021"
"Mental health-related presentations","Western Australia","Number","2","2014",6598,2014.25,"Q2 2014"
"Mental health-related presentations","Western Australia","Number","2","2015",7286,2015.25,"Q2 2015"
"Mental health-related presentations","Western Australia","Number","2","2016",8001,2016.25,"Q2 2016"
"Mental health-related presentations","Western Australia","Number","2","2017",8727,2017.25,"Q2 2017"
"Mental health-related presentations","Western Australia","Number","2","2018",8951,2018.25,"Q2 2018"
"Mental health-related presentations","Western Australia","Number","2","2019",8635,2019.25,"Q2 2019"
"Mental health-related presentations","Western Australia","Number","2","2020",9028,2020.25,"Q2 2020"
"Mental health-related presentations","Western Australia","Number","2","2021",7943,2021.25,"Q2 2021"
"Mental health-related presentations","Western Australia","Per cent","3","2014",24,2014.5,"Q3 2014"
"Mental health-related presentations","Western Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"Mental health-related presentations","Western Australia","Per cent","3","2016",23,2016.5,"Q3 2016"
"Mental health-related presentations","Western Australia","Per cent","3","2017",24,2017.5,"Q3 2017"
"Mental health-related presentations","Western Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"Mental health-related presentations","Western Australia","Per cent","3","2019",24,2019.5,"Q3 2019"
"Mental health-related presentations","Western Australia","Per cent","3","2020",26,2020.5,"Q3 2020"
"Mental health-related presentations","Western Australia","Per cent","3","2021",26,2021.5,"Q3 2021"
"Mental health-related presentations","Western Australia","Per cent","4","2014",25,2014.75,"Q4 2014"
"Mental health-related presentations","Western Australia","Per cent","4","2015",26,2015.75,"Q4 2015"
"Mental health-related presentations","Western Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"Mental health-related presentations","Western Australia","Per cent","4","2017",26,2017.75,"Q4 2017"
"Mental health-related presentations","Western Australia","Per cent","4","2018",26,2018.75,"Q4 2018"
"Mental health-related presentations","Western Australia","Per cent","4","2019",27,2019.75,"Q4 2019"
"Mental health-related presentations","Western Australia","Per cent","4","2020",25,2020.75,"Q4 2020"
"Mental health-related presentations","Western Australia","Per cent","4","2021",27,2021.75,"Q4 2021"
"Mental health-related presentations","Western Australia","Per cent","1","2014",26,2014,"Q1 2014"
"Mental health-related presentations","Western Australia","Per cent","1","2015",27,2015,"Q1 2015"
"Mental health-related presentations","Western Australia","Per cent","1","2016",27,2016,"Q1 2016"
"Mental health-related presentations","Western Australia","Per cent","1","2017",26,2017,"Q1 2017"
"Mental health-related presentations","Western Australia","Per cent","1","2018",26,2018,"Q1 2018"
"Mental health-related presentations","Western Australia","Per cent","1","2019",26,2019,"Q1 2019"
"Mental health-related presentations","Western Australia","Per cent","1","2020",26,2020,"Q1 2020"
"Mental health-related presentations","Western Australia","Per cent","1","2021",25,2021,"Q1 2021"
"Mental health-related presentations","Western Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"Mental health-related presentations","Western Australia","Per cent","2","2015",24,2015.25,"Q2 2015"
"Mental health-related presentations","Western Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
"Mental health-related presentations","Western Australia","Per cent","2","2017",24,2017.25,"Q2 2017"
"Mental health-related presentations","Western Australia","Per cent","2","2018",24,2018.25,"Q2 2018"
"Mental health-related presentations","Western Australia","Per cent","2","2019",23,2019.25,"Q2 2019"
"Mental health-related presentations","Western Australia","Per cent","2","2020",23,2020.25,"Q2 2020"
"Mental health-related presentations","Western Australia","Per cent","2","2021",23,2021.25,"Q2 2021"
"Mental health-related presentations","South Australia","Number","3","2014",4986,2014.5,"Q3 2014"
"Mental health-related presentations","South Australia","Number","3","2015",5371,2015.5,"Q3 2015"
"Mental health-related presentations","South Australia","Number","3","2016",5916,2016.5,"Q3 2016"
"Mental health-related presentations","South Australia","Number","3","2017",6016,2017.5,"Q3 2017"
"Mental health-related presentations","South Australia","Number","3","2018",5682,2018.5,"Q3 2018"
"Mental health-related presentations","South Australia","Number","3","2019",6564,2019.5,"Q3 2019"
"Mental health-related presentations","South Australia","Number","3","2020",7308,2020.5,"Q3 2020"
"Mental health-related presentations","South Australia","Number","3","2021",6106,2021.5,"Q3 2021"
"Mental health-related presentations","South Australia","Number","4","2014",5464,2014.75,"Q4 2014"
"Mental health-related presentations","South Australia","Number","4","2015",5761,2015.75,"Q4 2015"
"Mental health-related presentations","South Australia","Number","4","2016",6001,2016.75,"Q4 2016"
"Mental health-related presentations","South Australia","Number","4","2017",6176,2017.75,"Q4 2017"
"Mental health-related presentations","South Australia","Number","4","2018",5930,2018.75,"Q4 2018"
"Mental health-related presentations","South Australia","Number","4","2019",6532,2019.75,"Q4 2019"
"Mental health-related presentations","South Australia","Number","4","2020",7018,2020.75,"Q4 2020"
"Mental health-related presentations","South Australia","Number","4","2021",5691,2021.75,"Q4 2021"
"Mental health-related presentations","South Australia","Number","1","2014",5397,2014,"Q1 2014"
"Mental health-related presentations","South Australia","Number","1","2015",6143,2015,"Q1 2015"
