"","Type","Location","Count","Quarter","Year","Value","Time_Number","Time_String"
"249","Mental health-related presentations","Queensland","Per cent","2","2014",24,2014.25,"Q2 2014"
"250","Mental health-related presentations","Queensland","Per cent","2","2015",25,2015.25,"Q2 2015"
"251","Mental health-related presentations","Queensland","Per cent","2","2016",24,2016.25,"Q2 2016"
"252","Mental health-related presentations","Queensland","Per cent","2","2017",24,2017.25,"Q2 2017"
"253","Mental health-related presentations","Queensland","Per cent","2","2018",24,2018.25,"Q2 2018"
"254","Mental health-related presentations","Queensland","Per cent","2","2019",24,2019.25,"Q2 2019"
"255","Mental health-related presentations","Queensland","Per cent","2","2020",24,2020.25,"Q2 2020"
"256","Mental health-related presentations","Queensland","Per cent","2","2021",24,2021.25,"Q2 2021"
"257","Mental health-related presentations","Western Australia","Number","3","2014",6212,2014.5,"Q3 2014"
"258","Mental health-related presentations","Western Australia","Number","3","2015",6810,2015.5,"Q3 2015"
"259","Mental health-related presentations","Western Australia","Number","3","2016",7085,2016.5,"Q3 2016"
"260","Mental health-related presentations","Western Australia","Number","3","2017",8435,2017.5,"Q3 2017"
"261","Mental health-related presentations","Western Australia","Number","3","2018",8781,2018.5,"Q3 2018"
"262","Mental health-related presentations","Western Australia","Number","3","2019",9119,2019.5,"Q3 2019"
"263","Mental health-related presentations","Western Australia","Number","3","2020",9956,2020.5,"Q3 2020"
"264","Mental health-related presentations","Western Australia","Number","3","2021",8976,2021.5,"Q3 2021"
"265","Mental health-related presentations","Western Australia","Number","4","2014",6616,2014.75,"Q4 2014"
"266","Mental health-related presentations","Western Australia","Number","4","2015",7742,2015.75,"Q4 2015"
"267","Mental health-related presentations","Western Australia","Number","4","2016",7954,2016.75,"Q4 2016"
"268","Mental health-related presentations","Western Australia","Number","4","2017",9144,2017.75,"Q4 2017"
"269","Mental health-related presentations","Western Australia","Number","4","2018",9420,2018.75,"Q4 2018"
"270","Mental health-related presentations","Western Australia","Number","4","2019",10096,2019.75,"Q4 2019"
"271","Mental health-related presentations","Western Australia","Number","4","2020",9744,2020.75,"Q4 2020"
"272","Mental health-related presentations","Western Australia","Number","4","2021",9416,2021.75,"Q4 2021"
"273","Mental health-related presentations","Western Australia","Number","1","2014",6731,2014,"Q1 2014"
"274","Mental health-related presentations","Western Australia","Number","1","2015",7989,2015,"Q1 2015"
"275","Mental health-related presentations","Western Australia","Number","1","2016",8374,2016,"Q1 2016"
"276","Mental health-related presentations","Western Australia","Number","1","2017",9328,2017,"Q1 2017"
"277","Mental health-related presentations","Western Australia","Number","1","2018",9777,2018,"Q1 2018"
"278","Mental health-related presentations","Western Australia","Number","1","2019",10035,2019,"Q1 2019"
"279","Mental health-related presentations","Western Australia","Number","1","2020",9864,2020,"Q1 2020"
"280","Mental health-related presentations","Western Australia","Number","1","2021",8629,2021,"Q1 2021"
"281","Mental health-related presentations","Western Australia","Number","2","2014",6598,2014.25,"Q2 2014"
"282","Mental health-related presentations","Western Australia","Number","2","2015",7286,2015.25,"Q2 2015"
"283","Mental health-related presentations","Western Australia","Number","2","2016",8001,2016.25,"Q2 2016"
"284","Mental health-related presentations","Western Australia","Number","2","2017",8727,2017.25,"Q2 2017"
"285","Mental health-related presentations","Western Australia","Number","2","2018",8951,2018.25,"Q2 2018"
"286","Mental health-related presentations","Western Australia","Number","2","2019",8635,2019.25,"Q2 2019"
"287","Mental health-related presentations","Western Australia","Number","2","2020",9028,2020.25,"Q2 2020"
"288","Mental health-related presentations","Western Australia","Number","2","2021",7943,2021.25,"Q2 2021"
"289","Mental health-related presentations","Western Australia","Per cent","3","2014",24,2014.5,"Q3 2014"
"290","Mental health-related presentations","Western Australia","Per cent","3","2015",23,2015.5,"Q3 2015"
"291","Mental health-related presentations","Western Australia","Per cent","3","2016",23,2016.5,"Q3 2016"
"292","Mental health-related presentations","Western Australia","Per cent","3","2017",24,2017.5,"Q3 2017"
"293","Mental health-related presentations","Western Australia","Per cent","3","2018",24,2018.5,"Q3 2018"
"294","Mental health-related presentations","Western Australia","Per cent","3","2019",24,2019.5,"Q3 2019"
"295","Mental health-related presentations","Western Australia","Per cent","3","2020",26,2020.5,"Q3 2020"
"296","Mental health-related presentations","Western Australia","Per cent","3","2021",26,2021.5,"Q3 2021"
"297","Mental health-related presentations","Western Australia","Per cent","4","2014",25,2014.75,"Q4 2014"
"298","Mental health-related presentations","Western Australia","Per cent","4","2015",26,2015.75,"Q4 2015"
"299","Mental health-related presentations","Western Australia","Per cent","4","2016",25,2016.75,"Q4 2016"
"300","Mental health-related presentations","Western Australia","Per cent","4","2017",26,2017.75,"Q4 2017"
"301","Mental health-related presentations","Western Australia","Per cent","4","2018",26,2018.75,"Q4 2018"
"302","Mental health-related presentations","Western Australia","Per cent","4","2019",27,2019.75,"Q4 2019"
"303","Mental health-related presentations","Western Australia","Per cent","4","2020",25,2020.75,"Q4 2020"
"304","Mental health-related presentations","Western Australia","Per cent","4","2021",27,2021.75,"Q4 2021"
"305","Mental health-related presentations","Western Australia","Per cent","1","2014",26,2014,"Q1 2014"
"306","Mental health-related presentations","Western Australia","Per cent","1","2015",27,2015,"Q1 2015"
"307","Mental health-related presentations","Western Australia","Per cent","1","2016",27,2016,"Q1 2016"
"308","Mental health-related presentations","Western Australia","Per cent","1","2017",26,2017,"Q1 2017"
"309","Mental health-related presentations","Western Australia","Per cent","1","2018",26,2018,"Q1 2018"
"310","Mental health-related presentations","Western Australia","Per cent","1","2019",26,2019,"Q1 2019"
"311","Mental health-related presentations","Western Australia","Per cent","1","2020",26,2020,"Q1 2020"
"312","Mental health-related presentations","Western Australia","Per cent","1","2021",25,2021,"Q1 2021"
"313","Mental health-related presentations","Western Australia","Per cent","2","2014",25,2014.25,"Q2 2014"
"314","Mental health-related presentations","Western Australia","Per cent","2","2015",24,2015.25,"Q2 2015"
"315","Mental health-related presentations","Western Australia","Per cent","2","2016",25,2016.25,"Q2 2016"
"316","Mental health-related presentations","Western Australia","Per cent","2","2017",24,2017.25,"Q2 2017"
"317","Mental health-related presentations","Western Australia","Per cent","2","2018",24,2018.25,"Q2 2018"
"318","Mental health-related presentations","Western Australia","Per cent","2","2019",23,2019.25,"Q2 2019"
"319","Mental health-related presentations","Western Australia","Per cent","2","2020",23,2020.25,"Q2 2020"
"320","Mental health-related presentations","Western Australia","Per cent","2","2021",23,2021.25,"Q2 2021"
"321","Mental health-related presentations","South Australia","Number","3","2014",4986,2014.5,"Q3 2014"
"322","Mental health-related presentations","South Australia","Number","3","2015",5371,2015.5,"Q3 2015"
